Phase,Blue,Red,Score,Winner,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1-2,BP2-3,RP3,RB4,BB4,RB5,BB5,RP4,BP4-5,RP5,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5
Week 8,Nongshim RedForce,DRX,1 - 0,1,11.4,Udyr,Thresh,Renekton,Hecarim,Lillia,Seraphine,Rell,"Alistar, Nidalee","Graves, Tristana",Kai'Sa,Azir,Gnar,Gragas,Jayce,Syndra,"Sion, Orianna",Jax,Support,Jungle,Bot,Top,Mid,Support,Jungle,Bot,Mid,Top
Week 8,Liiv SANDBOX,KT Rolster,2 - 0,1,11.4,Renekton,Udyr,Thresh,Zoe,Hecarim,Lillia,Gnar,"Rell, Nidalee","Syndra, Kai'Sa",Jayce,Alistar,Aphelios,Graves,Jinx,Tristana,"Gragas, Olaf",Azir,Top,Mid,Bot,Support,Jungle,Support,Jungle,Top,Bot,Mid
Week 8,KT Rolster,Liiv SANDBOX,0 - 1,2,11.4,Udyr,Hecarim,Gnar,Renekton,Zoe,Thresh,Lillia,"Syndra, Gragas","Rell, Azir",Kai'Sa,Aphelios,Alistar,Jinx,Graves,Nidalee,"Tristana, Camille",Jayce,Jungle,Support,Mid,Bot,Top,Mid,Support,Bot,Jungle,Top
Week 8,Hanwha Life Esports,Afreeca Freecs,2 - 0,1,11.4,Seraphine,Lucian,Azir,Renekton,Hecarim,Lillia,Udyr,"Thresh, Nidalee","Varus, Camille",Kalista,Tahm Kench,Gnar,Aatrox,Jax,Gragas,"Alistar, Viktor",Sett,Jungle,Bot,Top,Support,Mid,Support,Jungle,Bot,Top,Mid
Week 8,Afreeca Freecs,Hanwha Life Esports,0 - 1,2,11.4,Lucian,Seraphine,Renekton,Lillia,Udyr,Hecarim,Rell,"Nidalee, Thresh","Kai'Sa, Olaf",Jinx,Azir,Yone,Viktor,Irelia,Aatrox,"Gnar, Syndra",Kennen,Support,Bot,Jungle,Top,Mid,Jungle,Support,Bot,Mid,Top
Week 8,DWG KIA,Fredit BRION,2 - 0,1,11.4,Thresh,Senna,Tristana,Nidalee,Rell,Lillia,Seraphine,"Kai'Sa, Hecarim","Graves, Xayah",Azir,Syndra,Alistar,Zoe,Gnar,Rakan,"Gragas, Sion",Renekton,Mid,Jungle,Bot,Support,Top,Bot,Jungle,Mid,Support,Top
Week 8,Fredit BRION,DWG KIA,0 - 1,2,11.4,Senna,Thresh,Nidalee,Tristana,Lillia,Seraphine,Rell,"Gragas, Kai'Sa","Hecarim, Jinx",Graves,Orianna,Alistar,Zoe,Syndra,Azir,"Viktor, Gnar",Lulu,Support,Jungle,Bot,Mid,Top,Support,Bot,Jungle,Mid,Top
Week 7,Gen.G,Hanwha Life Esports,2 - 0,1,11.4,Lucian,Azir,Lillia,Renekton,Gragas,Hecarim,Udyr,"Rell, Olaf","Alistar, Kalista",Tristana,Gnar,Yone,Orianna,Sylas,Sion,"Syndra, Camille",Shen,Jungle,Support,Bot,Mid,Top,Support,Jungle,Bot,Mid,Top
Week 7,Hanwha Life Esports,Gen.G,0 - 1,2,11.4,Kalista,Lillia,Aphelios,Udyr,Renekton,Lucian,Kai'Sa,"Rell, Hecarim","Syndra, Gragas",Azir,Sion,Gnar,Olaf,Tristana,Xayah,"Rek'Sai, Leona",Camille,Bot,Mid,Top,Jungle,Support,Support,Jungle,Mid,Bot,Top
Week 7,Fredit BRION,DRX,0 - 2,2,11.4,Udyr,Skarner,Kindred,Tristana,Seraphine,Azir,Lillia,"Nidalee, Rell","Aphelios, Thresh",Jinx,Galio,Jayce,Gragas,Gnar,Renekton,"Sion, Orianna",Syndra,Jungle,Bot,Support,Top,Mid,Jungle,Support,Bot,Top,Mid
Week 7,DRX,Fredit BRION,1 - 0,1,11.4,Skarner,Udyr,Azir,Seraphine,Tristana,Lillia,Kai'Sa,"Hecarim, Rell","Kindred, Alistar",Jinx,Gnar,Galio,Volibear,Renekton,Sion,"Gragas, Orianna",Zoe,Bot,Jungle,Support,Top,Mid,Jungle,Support,Bot,Top,Mid
Week 7,KT Rolster,T1,0 - 2,2,11.4,Kalista,Tristana,Thresh,Rell,Irelia,Kai'Sa,Lillia,"Gnar, Senna","Jinx, Azir",Udyr,Camille,Tahm Kench,Jayce,Nautilus,Zoe,"Gangplank, Leona",Sett,Jungle,Bot,Mid,Top,Support,Top,Bot,Jungle,Mid,Support
Week 7,T1,KT Rolster,1 - 0,1,11.4,Gnar,Kalista,Hecarim,Renekton,Tristana,Lucian,Thresh,"Rell, Udyr","Lillia, Aphelios",Jinx,Irelia,Jayce,Camille,Azir,Sion,"Zoe, Aatrox",Vladimir,Support,Jungle,Bot,Mid,Top,Support,Jungle,Bot,Mid,Top
